epoch,train_loss,val_loss,val_nse,val_kge
1,0.8519964913894829,0.7358358919868754,0.2641641080131246,0.1957101502836801
2,0.557681000294463,0.5962642294857772,0.4037357705142228,0.4127001251186134
3,0.47527097504197185,0.5428610203102188,0.45713897968978123,0.4575398395132544
4,0.4127327984655283,0.5181664798796454,0.48183352012035463,0.47534735237453696
5,0.3940062618185025,0.4994231211433512,0.5005768788566488,0.5340821431390712
6,0.3674828275144762,0.4690417920910046,0.5309582079089954,0.5678160383595737
7,0.36579398443573585,0.4787321149959165,0.5212678850040835,0.5853677436250709
8,0.3520267862994789,0.45673737884925036,0.5432626211507496,0.5698300039472074
9,0.3587591404124245,0.45831455064961557,0.5416854493503844,0.5479714734045336
10,0.34382649150978273,0.4662953364156217,0.5337046635843783,0.5480168199090584
11,0.342316744770499,0.45973754822443236,0.5402624517755676,0.5755288017704465
12,0.3399169996524192,0.4653870178145003,0.5346129821854997,0.5549393815363739
13,0.33890845103232087,0.461749854269059,0.538250145730941,0.5865143520261762
14,0.3235827712638567,0.46763332869511154,0.5323666713048885,0.56451737882971
15,0.3282007157229036,0.46580959614884687,0.5341904038511531,0.5575950540060906
16,0.3068970199164243,0.45553930027146716,0.5444606997285328,0.5398835391268979
17,0.3094172202420182,0.4593087642591688,0.5406912357408312,0.5395614355981977
18,0.3094821485389523,0.4640935008595888,0.5359064991404112,0.5295275693076434
19,0.30534232536304623,0.450564757072047,0.549435242927953,0.6096878635343739
20,0.2984134262354616,0.4433820000997515,0.5566179999002485,0.5904907418842126
21,0.3064300979974974,0.4529640112843699,0.5470359887156301,0.5700145682699715
22,0.29257901075766934,0.4645122466045244,0.5354877533954756,0.5105496570887513
23,0.29617022554756184,0.4501375622618178,0.5498624377381822,0.542173702970028
24,0.2996536614628389,0.4483366823697199,0.5516633176302801,0.5757792807434103
25,0.28490508127706654,0.43941223032837984,0.5605877696716202,0.5837050647273742
26,0.287957441533256,0.4432348109467945,0.5567651890532055,0.589778019503169
27,0.2918484888634445,0.4530264190135208,0.5469735809864792,0.5048283124839089
28,0.2789743045892299,0.45826493714215644,0.5417350628578436,0.5340242123310317
29,0.28587142019074196,0.446836952218157,0.553163047781843,0.5715645460024275
30,0.2758245209602847,0.4429539904101101,0.5570460095898899,0.5983198802609123
31,0.27808118797425074,0.4450488076423026,0.5549511923576974,0.5910744754480366
32,0.26448037463766305,0.43993984779418427,0.5600601522058157,0.5670660378264689
33,0.2674052032782006,0.4344307885143206,0.5655692114856794,0.594866107005223
34,0.265291276285156,0.4274012863925033,0.5725987136074967,0.6112394808864661
35,0.27089163089663254,0.42136002122078775,0.5786399787792122,0.6288741899733183
36,0.2754763074048266,0.43714793487986736,0.5628520651201326,0.5678120932905184
37,0.2651519411850823,0.4295824390193619,0.5704175609806381,0.5725780269486023
38,0.26678287660872646,0.42295399805370737,0.5770460019462926,0.6013528168918085
39,0.2727871048812245,0.4294257441004079,0.5705742558995921,0.6080106809675279
40,0.258574645356899,0.44584318546559354,0.5541568145344065,0.5441879295843034
41,0.26024920630684434,0.4220899856110014,0.5779100143889986,0.617536984679943
42,0.2577427901840492,0.42892925256971615,0.5710707474302839,0.5795196531516551
43,0.2458704525148489,0.43035660933895514,0.5696433906610449,0.5618450158019258
44,0.26001746410974125,0.4258693126072717,0.5741306873927283,0.6069069917416177
45,0.25438729596967435,0.41650247605581736,0.5834975239441826,0.6202979779716722
46,0.26256391421500885,0.4324221750635391,0.5675778249364609,0.5468131960751113
47,0.23285610079324132,0.42061152242781863,0.5793884775721814,0.5988995222966971
48,0.24931242790688063,0.43830026566636293,0.5616997343336371,0.5795233486628515
49,0.256144478751676,0.41462752768053,0.58537247231947,0.6461161863846971
50,0.2608853962402005,0.4329925515535511,0.5670074484464489,0.6494600587990258
