month,mse,mae,rmse,nse,kge,observed_mean,predicted_mean,n_samples
1,3.3117637565161964,0.9727649108930068,1.8198251994398242,0.8120308532594658,0.9050021077699243,2.3464870046485555,2.3322063716975125,110
2,3.2431980181841618,0.9161754488945008,1.8008881192856379,0.6759826125764477,0.697140276913912,2.0927345061302187,1.8609055995941162,50
3,1.6719727295656572,0.9041183749834697,1.2930478450411869,0.48155489964764486,0.696662030812487,1.7923830032348633,1.8695407350858053,60
4,5.658515506724561,1.330009729546659,2.3787634406818516,-0.09157581489163213,0.4239779683430954,2.1463874657364452,2.43520653423141,68
5,7.598479575435046,1.4167381917034183,2.756533978646925,0.47994178295476275,0.7350875859201638,3.134582079208649,3.382325584287042,111
6,30.549154945922986,2.002846016486486,5.527128996678383,0.15688211565806054,0.2843829592202196,3.5032071352005003,2.6820245921611785,60
7,2.0291750194958333,0.7965364515781402,1.4244911440566534,0.45512499017331676,0.624978039409036,1.3664854367574055,1.448416401942571,60
8,0.5010629116349724,0.4413772378212366,0.7078579741974885,0.7616555810361881,0.6099309298075093,0.7169629381253169,0.5559520996533908,78
9,0.7365548656886582,0.5053424258808513,0.858227746981335,0.47437121674982763,0.6428660215928166,0.6360816654268202,0.7759489266427009,91
10,0.29986300800729804,0.39197093645731607,0.5475974872178451,0.691653539341368,0.7608857068052051,0.5231518467267354,0.6119855364163717,60
11,2.7248440678237875,0.7894365986188253,1.6507101707519063,0.5300007151322487,0.36209996037604475,1.2581177592277526,1.6981646498044332,60
12,0.5588852815610439,0.4282241935160623,0.7475863037543183,0.792345892796217,0.8774339761556533,0.9966899921644979,1.0338334432288783,67
