epoch,train_loss,val_loss,val_nse,val_kge
1,0.9273678079385704,7.060769198985582,0.24636957033106133,0.15205264394704143
2,0.7009694971710941,1.5403751876916778,0.46830351679357896,0.38559885450770803
3,0.6317774238303331,3.887947879748398,0.5582765789931301,0.5480557999881458
4,0.4919013983464639,1.6403318555167552,0.6198220075094405,0.6780089896479837
5,0.4505952053255849,2.3772246028600112,0.6450768257413051,0.6128347243503449
6,0.44327275164715657,4.782183580720023,0.6258924294805916,0.5538311013177324
7,0.4053322792053223,3.824206092920196,0.6961612625206945,0.6331544049551399
8,0.39332550394734117,1.9294036200876985,0.6901330398008647,0.7001424023625047
9,0.3926005318346183,2.3033610097477943,0.6870310726478404,0.6476909376751974
10,0.3893340574788251,3.430679612749078,0.6726235074622562,0.6179333457323171
11,0.3758321678925976,2.6577143636982092,0.6921846942524206,0.6561907972552017
12,0.3532282631339744,2.0053601382823474,0.7012906931073049,0.6547233667305301
