metric,n_catchments,min,p25,median,p75,max,fraction_below_0,fraction_above_0p5,fraction_above_0p7,model_label
kge,10,-6.240176713442258,-0.11402941688819002,0.5448080043356356,0.6791809506777449,0.7977728138111069,0.3,0.5,0.3,LSTM
kge,10,-2.237901569607288,-0.18185141988456338,0.28894581367528627,0.625050798563102,0.7816002368371069,0.4,0.4,0.2,Transformer
