basin_id,mse,mae,rmse,nse,kge,n_samples,model_label
11468500,1.127862231387182,0.619913745712448,1.062008583480935,0.8623232759729247,0.6158596266430896,91,LSTM
14308990,0.762441398279169,0.6004160172060916,0.8731789039361687,0.8507169915466706,0.745679394492742,76,LSTM
13337000,1.734046782345532,0.8508579475539071,1.3168321010461177,0.8423292968354469,0.7977728138111069,91,LSTM
13310700,1.0051766587193656,0.7318350231492674,1.002584988277485,0.8382131360696505,0.6146936445351205,77,LSTM
12374250,0.2503946044362135,0.2996843211791095,0.5003944488463211,0.5885822239467258,0.4749223641361507,85,LSTM
12092000,9.312833531971483,2.26413556769654,3.051693551451634,0.4546119929423055,0.7002880586892966,91,LSTM
07167500,17.500354721613487,0.7974013902328827,4.183342529797613,0.0268086377307325,-0.2841830776353806,91,LSTM
04196800,1.4718296493446563,0.5924592332525568,1.213189865332157,-0.0328100381228928,-0.1848692428305922,91,LSTM
12048000,12.46358580192988,2.039408844905896,3.530380404705685,-1.2193794183647833,0.0984900609390165,91,LSTM
10258500,0.1047819087438611,0.2562028431630396,0.3237003378803629,-8.455530672239377,-6.240176713442258,91,LSTM
14308990,0.4578800775735298,0.4771551050637898,0.6766683660209998,0.9103488928522312,0.7605094887664332,76,Transformer
13310700,1.2561678124501396,0.6693200538684796,1.1207889241289546,0.7978151908088671,0.6546784476486511,77,Transformer
11468500,1.8205163790532748,0.587162835257394,1.3492651255603083,0.7777718553467146,0.7816002368371069,91,Transformer
13337000,3.946667319993282,1.1657472658943344,1.986622087865048,0.641143585146997,0.5361678513064544,91,Transformer
04196800,0.8751833457465898,0.4843372073802319,0.9355123439840812,0.3858676885008234,0.2448844062353971,91,Transformer
12374250,0.5609804691903012,0.5467914595323451,0.748986294394164,0.07826553386301,-0.0461456309980197,85,Transformer
07167500,17.973561952741058,0.969181077820914,4.239523788439104,0.0004936745644172,-0.2947906744321249,91,Transformer
12092000,24.123662523690346,3.025274203373836,4.911584522706532,-0.4127554392076247,0.3330072211151754,91,Transformer
12048000,18.17615662145788,2.311107690517719,4.263350398625227,-2.236611722478143,-0.2270866828467446,91,Transformer
10258500,0.1431161717310029,0.1970610029094821,0.3783069808118837,-11.914818671646486,-2.237901569607288,91,Transformer
