label,run_dir,mse,mae,rmse,nse,kge
LSTM,outputs/sweeps_mse/seq120_hidden128_batch032_lr0p001,4.725393715948879,0.9173835685593741,2.1737970733140846,0.5237850347770838,0.7592559937678396
Transformer,output/transformer_MSE_T1/seq120_hidden064_batch128_lr0p001_drop0p2,7.17893005708234,1.0624079919542586,2.6793525443812616,0.2765229453934036,0.6264896264846982
