month,mse,mae,rmse,nse,kge,observed_mean,predicted_mean,n_samples
1,4.391909858113739,1.1230192374099384,2.0956883971892717,0.7507239014357083,0.7382293943850162,2.3464870046485555,2.847194691137834,110
2,2.7078145166432557,0.8820720386505126,1.6455438361354144,0.7294710405004645,0.7530714625728221,2.0927345061302187,2.199661605358124,50
3,2.2062123263388815,0.9744677344957987,1.4853323959097107,0.3158979505458207,0.5185801308669892,1.7923830032348633,2.4569777329762776,60
4,17.051264951482445,1.753853258841178,4.129317734382091,-2.289334174701518,-0.2883459740087262,2.1463874657364452,3.4574372540501987,68
5,5.963400330503038,1.513021864869573,2.442007438666606,0.5918505389637998,0.6660491007786138,3.134582079208649,4.001742262561042,111
6,28.087661761923126,1.7027561714251835,5.299779406911492,0.2248162018640374,0.3625653384363391,3.5032071352005003,2.9868051260709763,60
7,1.2014596272984086,0.6534847935040792,1.096111138205615,0.6773835081050642,0.7727658934733471,1.3664854367574055,1.551200842857361,60
8,0.40098240009423836,0.44636671512554854,0.633231711219707,0.8092616417101717,0.6940692795367573,0.7169629381253169,0.814912233597193,78
9,0.47036565612140224,0.44362838320679715,0.6858320903263438,0.6643322323604484,0.6160354863413138,0.6360816654268202,0.8140427044459752,91
10,0.2927826207956358,0.4146922787030538,0.5410939112535234,0.6989342384556634,0.5070911804791634,0.5231518467267354,0.7735095103581746,60
11,0.8813928791156774,0.6810623844464619,0.9388252654864362,0.8479714755924572,0.6604453862897662,1.2581177592277526,1.6640492002169291,60
12,0.8474287888035866,0.6721993044241151,0.9205589545507591,0.6851374076871777,0.4033421227109394,0.9966899921644979,1.5510793781992216,67
