run_name,model,loss,seq_len,window_stride,hidden_size,num_layers,nhead,dim_feedforward,dropout,batch_size,lr,weight_decay,best_val_loss,epoch_best_val_loss,best_val_nse,epoch_best_val_nse,best_val_kge,epoch_best_val_kge,test_nse,test_kge,test_rmse,test_mse,test_mae,checkpoint,run_dir,config,forecast_horizon,dynamic_inputs,target_variable,static_attributes,epochs,grad_clip,patience,min_delta,seed,split_strategy,split_stratify_attribute,device,num_workers,limit_basins,train_basin_count,val_basin_count,test_basin_count,data_dir,output_dir,epochs_completed,final_train_loss,final_val_loss,final_val_nse,final_val_kge,best_basin_by_nse,worst_basin_by_nse
seq030_hidden032_batch256_lr0p001,transformer,mse,30,30,32,2,4,128,0.1,256,0.001,1e-05,0.4513536335029643,17,0.6076462984127907,17,0.7041355537315652,19,0.4715515389218421,0.67565753240651,2.18475373188068,4.773148868966556,1.0932659158580287,output/sweep_transformer/seq030_hidden032_batch256_lr0p001/best_model.pt,output/sweep_transformer/seq030_hidden032_batch256_lr0p001,configs/transformer_sweep.yaml,1,"['prcp', 'tmax', 'tmin', 'srad', 'vp']",qobs,"['lat', 'lon', 'elev_mean', 'slope_mean', 'area_km2', 'mean_prcp', 'mean_pet', 'aridity', 'frac_snow', 'soil_depth_pelletier', 'frac_forest', 'lai_max']",50,1.0,10,0.0,42,stratified,aridity,auto,2,,30,10,10,,output/sweep_transformer/seq030_hidden032_batch256_lr0p001,27,0.2727654314124964,0.4838534408977266,0.5793947940877,0.6060832387156803,13337000,12048000
seq030_hidden032_batch256_lr0p003,transformer,mse,30,30,32,2,4,128,0.1,256,0.003,1e-05,0.471096077346775,23,0.5904845451644509,23,0.724708820769473,22,0.3957500662570774,0.7001700489628748,2.3361970803272736,5.457816798129678,1.2128979471647763,output/sweep_transformer/seq030_hidden032_batch256_lr0p003/best_model.pt,output/sweep_transformer/seq030_hidden032_batch256_lr0p003,configs/transformer_sweep.yaml,1,"['prcp', 'tmax', 'tmin', 'srad', 'vp']",qobs,"['lat', 'lon', 'elev_mean', 'slope_mean', 'area_km2', 'mean_prcp', 'mean_pet', 'aridity', 'frac_snow', 'soil_depth_pelletier', 'frac_forest', 'lai_max']",50,1.0,10,0.0,42,stratified,aridity,auto,2,,30,10,10,,output/sweep_transformer/seq030_hidden032_batch256_lr0p003,33,0.2645336556752287,0.5022254325572112,0.5634243522935033,0.5921122892221748,13337000,10258500
seq030_hidden064_batch032_lr0p0005,transformer,mse,30,30,64,2,4,128,0.1,32,0.0005,1e-05,0.4545553324915809,25,0.6048631195792673,25,0.698988403846571,34,0.4622659369089115,0.5942695919733993,2.2038647831148945,4.8570199822540605,1.1030003199315064,output/sweep_transformer/seq030_hidden064_batch032_lr0p0005/best_model.pt,output/sweep_transformer/seq030_hidden064_batch032_lr0p0005,configs/transformer_sweep.yaml,1,"['prcp', 'tmax', 'tmin', 'srad', 'vp']",qobs,"['lat', 'lon', 'elev_mean', 'slope_mean', 'area_km2', 'mean_prcp', 'mean_pet', 'aridity', 'frac_snow', 'soil_depth_pelletier', 'frac_forest', 'lai_max']",50,1.0,10,0.0,42,stratified,aridity,auto,2,,30,10,10,,output/sweep_transformer/seq030_hidden064_batch032_lr0p0005,35,0.2350564389306911,0.4688845647953797,0.5924069726403214,0.6397911953660174,13337000,10258500
seq030_hidden064_batch032_lr0p001,transformer,mse,30,30,64,2,4,128,0.1,32,0.001,1e-05,0.4834636175093254,13,0.5797336729506934,13,0.6781068996905852,13,0.32488907972269243,0.6191631698929367,2.469384612532402,6.097860364611802,1.2032809581264672,output/sweep_transformer/seq030_hidden064_batch032_lr0p001/best_model.pt,output/sweep_transformer/seq030_hidden064_batch032_lr0p001,configs/transformer_sweep.yaml,1,"['prcp', 'tmax', 'tmin', 'srad', 'vp']",qobs,"['lat', 'lon', 'elev_mean', 'slope_mean', 'area_km2', 'mean_prcp', 'mean_pet', 'aridity', 'frac_snow', 'soil_depth_pelletier', 'frac_forest', 'lai_max']",50,1.0,10,0.0,42,stratified,aridity,auto,2,,30,10,10,,output/sweep_transformer/seq030_hidden064_batch032_lr0p001,23,0.2977663214993336,0.5055890305844024,0.5605004445095805,0.6444789066642869,13310700,10258500
seq030_hidden064_batch032_lr0p003,transformer,mse,30,30,64,2,4,128,0.1,32,0.003,1e-05,0.5595906419566271,4,0.513557809285913,4,0.6088337885917148,7,0.5377836325829799,0.6463921031277327,2.0432609318300146,4.17491523554286,1.0609349748897363,output/sweep_transformer/seq030_hidden064_batch032_lr0p003/best_model.pt,output/sweep_transformer/seq030_hidden064_batch032_lr0p003,configs/transformer_sweep.yaml,1,"['prcp', 'tmax', 'tmin', 'srad', 'vp']",qobs,"['lat', 'lon', 'elev_mean', 'slope_mean', 'area_km2', 'mean_prcp', 'mean_pet', 'aridity', 'frac_snow', 'soil_depth_pelletier', 'frac_forest', 'lai_max']",50,1.0,10,0.0,42,stratified,aridity,auto,2,,30,10,10,,output/sweep_transformer/seq030_hidden064_batch032_lr0p003,14,0.434835820336813,0.6209963470485774,0.4601789178724563,0.4050768012542209,13337000,10258500
seq030_hidden064_batch064_lr0p0005,transformer,mse,30,30,64,2,4,128,0.1,64,0.0005,1e-05,0.4309501332734756,29,0.6253826980589066,29,0.7023697846959344,34,0.4866766471863231,0.65085130283469,2.153261038282469,4.636533098985296,1.0608807803559215,output/sweep_transformer/seq030_hidden064_batch064_lr0p0005/best_model.pt,output/sweep_transformer/seq030_hidden064_batch064_lr0p0005,configs/transformer_sweep.yaml,1,"['prcp', 'tmax', 'tmin', 'srad', 'vp']",qobs,"['lat', 'lon', 'elev_mean', 'slope_mean', 'area_km2', 'mean_prcp', 'mean_pet', 'aridity', 'frac_snow', 'soil_depth_pelletier', 'frac_forest', 'lai_max']",50,1.0,10,0.0,42,stratified,aridity,auto,2,,30,10,10,,output/sweep_transformer/seq030_hidden064_batch064_lr0p0005,39,0.2132017910480499,0.4994084359689165,0.5658731219074071,0.6886278322832611,13337000,10258500
seq030_hidden064_batch064_lr0p001,transformer,mse,30,30,64,2,4,128,0.1,64,0.001,1e-05,0.4805813900965641,15,0.5822391438620864,15,0.676460944217896,15,0.2771072359715743,0.5164912184299513,2.555277729593001,6.529444275353961,1.1778697755541276,output/sweep_transformer/seq030_hidden064_batch064_lr0p001/best_model.pt,output/sweep_transformer/seq030_hidden064_batch064_lr0p001,configs/transformer_sweep.yaml,1,"['prcp', 'tmax', 'tmin', 'srad', 'vp']",qobs,"['lat', 'lon', 'elev_mean', 'slope_mean', 'area_km2', 'mean_prcp', 'mean_pet', 'aridity', 'frac_snow', 'soil_depth_pelletier', 'frac_forest', 'lai_max']",50,1.0,10,0.0,42,stratified,aridity,auto,2,,30,10,10,,output/sweep_transformer/seq030_hidden064_batch064_lr0p001,25,0.2717053610955584,0.4950968450961885,0.5696211093793744,0.6000470826512654,13337000,12048000
seq030_hidden064_batch064_lr0p003,transformer,mse,30,30,64,2,4,128,0.1,64,0.003,1e-05,0.5026806839257708,17,0.5630286170613711,17,0.6740084275261359,18,0.2751850274268104,0.4833507885903273,2.55867278076682,6.546806399037012,1.2660647061483308,output/sweep_transformer/seq030_hidden064_batch064_lr0p003/best_model.pt,output/sweep_transformer/seq030_hidden064_batch064_lr0p003,configs/transformer_sweep.yaml,1,"['prcp', 'tmax', 'tmin', 'srad', 'vp']",qobs,"['lat', 'lon', 'elev_mean', 'slope_mean', 'area_km2', 'mean_prcp', 'mean_pet', 'aridity', 'frac_snow', 'soil_depth_pelletier', 'frac_forest', 'lai_max']",50,1.0,10,0.0,42,stratified,aridity,auto,2,,30,10,10,,output/sweep_transformer/seq030_hidden064_batch064_lr0p003,27,0.3560542443740994,0.6047602491869501,0.4742926669836992,0.4375972586499836,13337000,12048000
seq030_hidden064_batch128_lr0p0005,transformer,mse,30,30,64,2,4,128,0.1,128,0.0005,1e-05,0.4579600239017053,13,0.601903480321536,13,0.6679591287889819,21,0.3812607280139988,0.6519841932489867,2.3640410423278397,5.588690049810499,1.213456335910945,output/sweep_transformer/seq030_hidden064_batch128_lr0p0005/best_model.pt,output/sweep_transformer/seq030_hidden064_batch128_lr0p0005,configs/transformer_sweep.yaml,1,"['prcp', 'tmax', 'tmin', 'srad', 'vp']",qobs,"['lat', 'lon', 'elev_mean', 'slope_mean', 'area_km2', 'mean_prcp', 'mean_pet', 'aridity', 'frac_snow', 'soil_depth_pelletier', 'frac_forest', 'lai_max']",50,1.0,10,0.0,42,stratified,aridity,auto,2,,30,10,10,,output/sweep_transformer/seq030_hidden064_batch128_lr0p0005,23,0.2828698102564039,0.5452069238981122,0.5260613243797951,0.5129938196466814,13337000,10258500
seq030_hidden064_batch128_lr0p001,transformer,mse,30,30,64,2,4,128,0.1,128,0.001,1e-05,0.4871537567371527,3,0.5765259053497727,3,0.703769532292607,13,0.3891611155766319,0.6656478406790578,2.348899896526836,5.517330723903782,1.0736619090721389,output/sweep_transformer/seq030_hidden064_batch128_lr0p001/best_model.pt,output/sweep_transformer/seq030_hidden064_batch128_lr0p001,configs/transformer_sweep.yaml,1,"['prcp', 'tmax', 'tmin', 'srad', 'vp']",qobs,"['lat', 'lon', 'elev_mean', 'slope_mean', 'area_km2', 'mean_prcp', 'mean_pet', 'aridity', 'frac_snow', 'soil_depth_pelletier', 'frac_forest', 'lai_max']",50,1.0,10,0.0,42,stratified,aridity,auto,2,,30,10,10,,output/sweep_transformer/seq030_hidden064_batch128_lr0p001,13,0.301606514784118,0.4871969619944888,0.5764883223890569,0.703769532292607,13310700,10258500
