seq_len,best_val_loss_mean,best_val_loss_std,best_val_loss_max,best_val_loss_min,best_val_nse_mean,best_val_nse_std,best_val_nse_max,best_val_nse_min,best_val_kge_mean,best_val_kge_std,best_val_kge_max,best_val_kge_min,test_nse_mean,test_nse_std,test_nse_max,test_nse_min,test_kge_mean,test_kge_std,test_kge_max,test_kge_min,test_rmse_mean,test_rmse_std,test_rmse_max,test_rmse_min,test_mse_mean,test_mse_std,test_mse_max,test_mse_min,test_mae_mean,test_mae_std,test_mae_max,test_mae_min
30,0.5196889453361663,0.0941453715962545,0.855294431627327,0.3976227009411129,0.5482436319933053,0.08183890107561942,0.6543536529240541,0.2565077192047511,0.6472531933020369,0.10009110539839304,0.7599926328826974,0.2829633187904623,0.33830944980920785,0.12394786199657383,0.5377836325829799,-0.023579709718241082,0.5637606863669535,0.11875956813295302,0.7483551119655303,0.2639976689522384,2.43451214879807,0.22550491440115272,3.0406190021800197,2.0432609318300146,5.976642442680737,1.1195445551922383,9.245363916418219,4.17491523554286,1.2057131379853374,0.15524543487150316,1.6969761477810394,0.925403659993952
60,0.42164994091463864,0.08081815629659317,0.7261907090045763,0.3530009752029574,0.5135428507262129,0.09323983603547002,0.5927430950881487,0.1621944287093445,0.6393743828551324,0.11122909797358405,0.7430579425109721,0.1540029964550012,0.3545993667239627,0.1415560186589434,0.5468828364145486,-0.06302204486693253,0.5868789716797707,0.13248846807927794,0.7602757455859285,0.14909503763214016,2.315942346503405,0.24689778376127552,2.9887346279213687,1.9512884615238713,5.42327749887838,1.1894899559162846,8.932534676136282,3.8075266600761966,1.134131236617051,0.21148460738208177,1.7970996712057028,0.8721513038979318
90,0.2866083641002794,0.06566007650079547,0.4906441342960166,0.2257646772906574,0.5480146288066762,0.10354685746044648,0.6439659573513163,0.2262473427941282,0.6549833605994488,0.11132273029558311,0.7616572364086899,0.3025953400858467,0.3342195913265727,0.10089630665479912,0.49555134258202915,0.10655551746459002,0.5946798805801653,0.09665791068082413,0.7219115861348446,0.2553162947979083,2.6089654807140237,0.1951150355689952,3.030557794682091,2.2771795255639553,6.843977634222757,1.0371769086702576,9.184280546908381,5.18554659164768,1.1890161828650174,0.16672716292606968,1.667376887306302,0.9571288534002066
120,0.2368707975251406,0.09714421253133922,0.5953069887050751,0.1680268677893314,0.6771336025139734,0.132412272289565,0.7709712156011254,0.1885676923029138,0.7539104071681181,0.15227209155192567,0.8636025651840245,0.1860454885763804,0.3270540455467846,0.10817732089267973,0.4934390359012658,0.08922602195960438,0.576516518025331,0.1140197424708768,0.7270452248811694,0.26181422205825144,2.5760061775885625,0.20639494200850989,3.0062340327918107,2.2419882904238477,6.677519222559327,1.0734237050176922,9.037443059915715,5.026511494397647,1.1688059167180742,0.1710998119101899,1.5746147094454084,0.8790417793818882
