epoch,train_loss,val_loss,val_nse,val_kge
1,1.0614318891862107,0.6478819202380569,0.2525392419754472,0.2904132692451563
2,0.839485469333316,0.7888416010174858,0.08991418607836199,0.006309049216571272
3,0.867024260151143,0.8689014130428936,-0.0024507787850902574,0.05531315558545957
4,0.8309408733652341,0.7092523697303252,0.18173621245020666,0.10435404558336625
5,0.7861990699409775,0.6387782496222284,0.2630421143862396,0.2756644164247587
6,0.8820386656140131,0.8196091454769119,0.05441763920790521,0.07473324479493015
7,0.9069233646308779,0.7317007291162114,0.1558375444887281,0.0636162730280686
8,0.9021520870736004,0.8439370561490526,0.026350615910368136,-0.011671737637820812
9,0.8655278459550719,0.7105676911310869,0.18021868923570805,0.09247488146195804
10,0.827634887191327,0.7637559533923645,0.11885544897239464,0.012192652568905893
11,0.8227642291330893,0.6973438822915463,0.19547500564305476,0.3890374453354446
12,0.7815305812681761,0.6453353273680988,0.25547728254772295,0.31388629986318184
13,0.7711323199776418,0.6838120158950097,0.21108670827622522,0.19414986070449214
14,0.7907412440524694,0.6540381246361505,0.245436803909451,0.3855320021216251
15,0.7926397669182638,0.6602599802270029,0.23825867350459629,0.2024973030463213
