epoch,train_loss,val_loss,val_nse,val_kge
1,0.8664124901446209,0.35327287992263695,0.5184719109592966,0.4320168260052779
2,0.6131843483293211,0.33273211703164857,0.5464699891569127,0.5704086521178979
3,0.5863959328985059,0.27197170889611993,0.6292893680083409,0.5634617351515597
4,0.4772181100659556,0.2848786104219348,0.6116966074236574,0.7611226596414805
5,0.4720289361996642,0.28183247247982895,0.6158486488669854,0.6749779664594631
6,0.4212268202359994,0.26615599706517845,0.6372164501072388,0.6655601262040214
7,0.39785916281653244,0.34759500500944895,0.5262111484283499,0.7329352391470781
8,0.4268653190202306,0.21170832119055427,0.71143128286703,0.7756372330185102
9,0.47488732549166635,0.23296757519580005,0.6824538680147776,0.499194553670243
10,0.4351676113392073,0.21237837263707365,0.7105179632075922,0.6432400098978395
11,0.3646419245922499,0.252830500257191,0.6553797589302046,0.5957138491166181
12,0.3424360441282419,0.23682972081842718,0.6771895785607973,0.5450308263808001
13,0.3932031025802492,0.337471484995625,0.5400099886157783,0.18823731675131772
14,0.402666016578232,0.26476968463217276,0.639106049484635,0.4877031526261013
15,0.3219844966712157,0.3408161567252004,0.535451007343309,0.36507197442086237
16,0.28827831439383617,0.3365642634419243,0.5412465623100728,0.5128190786457456
17,0.28093939916349964,0.19093178949433934,0.7397507122447138,0.8616605801158804
18,0.24220722740678485,0.2540684851189929,0.6536923140600278,0.6063900937382244
19,0.22555823187604684,0.47425326700793224,0.35356978953076323,0.6712972192882929
20,0.3851400399694637,0.36098005600231753,0.5079666556039808,0.29698623021825343
21,0.3203875674276936,0.16783302571478018,0.7712354341785937,0.8045238827476963
22,0.2671577675057254,0.2084898497961629,0.7158182175677034,0.7135342312747164
23,0.20835366715333237,0.20862396323237192,0.7156354262017742,0.7911739001163671
24,0.16145953065223287,0.4510485064698739,0.38519904869191623,0.3832667703263022
25,0.2207023784048261,0.2215378404495547,0.6980331569797837,0.6276832356257395
26,0.1704729400119003,0.3499817447695002,0.5229578999107527,0.601493043774072
27,0.21885645988367927,0.22681405443195882,0.6908414275045973,0.6102252966589597
28,0.14402139066599295,0.4231068423080645,0.42328482128080525,0.3886479631562155
29,0.15775372539966578,0.21232466219160495,0.7105911780379561,0.7085752310773021
30,0.15299368296129584,0.37124815602274086,0.4939707694646469,0.3258278606632299
31,0.19349870473865233,0.28981033827000285,0.6049744460671805,0.7988256580936122
