hidden_size,best_val_loss_mean,best_val_loss_std,best_val_loss_max,best_val_loss_min,best_val_nse_mean,best_val_nse_std,best_val_nse_max,best_val_nse_min,best_val_kge_mean,best_val_kge_std,best_val_kge_max,best_val_kge_min,test_nse_mean,test_nse_std,test_nse_max,test_nse_min,test_kge_mean,test_kge_std,test_kge_max,test_kge_min,test_rmse_mean,test_rmse_std,test_rmse_max,test_rmse_min,test_mse_mean,test_mse_std,test_mse_max,test_mse_min,test_mae_mean,test_mae_std,test_mae_max,test_mae_min
32,0.22395770754354197,0.06113820865593586,0.3888002047543505,0.1235364777951468,0.6579135618437632,0.07179574597997106,0.7709358836757513,0.54016527237322,0.7357257226509518,0.07055143669387738,0.8462359662841317,0.5745662580210132,0.3893397672172431,0.08010613575808277,0.596202938959711,0.15332808373245066,0.6328506456090898,0.0513588688915085,0.7553084740194552,0.49954535960865176,2.4336575666274283,0.3252061713764292,3.1262902208323062,1.7070007086393026,6.0262448918813085,1.5240699888128402,9.773690544871709,2.9138514192950815,1.0667179930989465,0.1396375991891669,1.316277788871289,0.734923092048732
64,0.2093733285661078,0.046589137801254885,0.3084329713073347,0.1271153206507052,0.6765009932505923,0.07161371861876657,0.792996433931182,0.5533372534191876,0.7600133624021849,0.05401258417298933,0.8637760420513609,0.6533865266706371,0.3865324039560271,0.11443169905206638,0.6480384523797657,0.1307211909596997,0.6285560555177601,0.06072712402873587,0.768434807846438,0.4953337006789237,2.4375278932318287,0.38818285321102447,3.167752637166199,1.5936749045633933,6.0890888676534365,1.8495344873258301,10.034656770273408,2.5397997014351406,1.0594448647655939,0.16758192967024477,1.4117333177264064,0.7180979696773736
128,0.2029637955954832,0.04179398523719718,0.2796570767830768,0.1247925085017181,0.6864369879552302,0.06659612333370209,0.8099140036262876,0.5589769166055423,0.776990203908411,0.04491939850533853,0.8616605801158804,0.6892037686386354,0.37755724334018154,0.12767072591067288,0.7145949311918767,0.024834143564288036,0.6277206495271913,0.07509044691533356,0.8400992457531127,0.44427985077376864,2.453221494408536,0.4050198131177594,3.066298005776107,1.4351026471612864,6.178919227791456,1.8662976031003105,9.40218346022653,2.059519607889332,1.0653643997298903,0.1641574358933306,1.3633597931167696,0.7530416425137099
